
Top 20 by RPS120 on 2026-03-11:
Code      RPS20  RPS60  RPS120  RPS250       MA10
002969     72.8  100.0   100.0    99.9      23.55
688125     98.5   99.9   100.0    99.7     243.72
301232      5.0   99.8   100.0    99.9     195.43
002931      2.1  100.0    99.9    99.5      81.11
001331     59.2  100.0    99.9    99.6      55.50
603778     74.0   92.1    99.9    99.6      16.52
688028     95.4   95.8    99.9    99.4     113.17
688257     98.2   99.6    99.9    98.3      72.78
002796     95.2   99.8    99.8    99.2      57.04
688308     99.8   99.6    99.8    98.8      80.62
688031     85.3   99.9    99.8    97.7     226.57
300658     99.0   99.3    99.8    99.4      26.64
300749     99.9   99.8    99.8    99.5      33.62
603301     97.3   72.9    99.8    99.0      90.32
000510     89.9   99.2    99.7    99.7      19.97
300164     99.9   99.9    99.7    99.3      19.68
000547     89.0   98.6    99.7    98.8      31.52
300139     96.0   99.8    99.7    98.9      72.94
002718      9.2   99.0    99.7    99.4      64.90
300475     15.3   67.8    99.6    99.2     148.76
